SHOW;ESCENARIO;LUGAR;NUEVA FECHA;API DATE
Sounds Good Tour;Klub Studio;Kraków, Polonia;21 de Enero 2022;2022-01-21
Sounds Good Tour;Globen Arena;Estocolm, Sweden;28 de Enero 2022;2022-01-28
Sounds Good Tour;Hartwall Arena;Helsinki, Finland;29 de Enero 2022;2022-01-29
Sounds Good Tour;Arena Cd. De México;Cd. México, México;6 de Febrero 2022;2022-02-06
Sounds Good Tour;Mercedes Benz Arena;Berlín, Alemania;19 de Febrero 2022;2022-02-19
Lollapalooza Chile – 2022;O'Higgins Park;Santiago, Chile;01/03/22;2022-03-01
Asuncionico 2022;Hipodromo;Asunción, Paraguay;23 de Marzo 2022;2022-03-23
Lollapalooza Brasil - 2022;Autódromo J.Carlos Pace;Sao Paulo, Brasil;26 de Marzo 2022;2022-03-26
Idays Festival;Millano Innovation District;Millan, Italia;10 de Junio 2022;2022-06-10
Sounds Good Tour;Caja Mágica Madrid;Madrid, España;12 de Junio 2022;2022-06-12
Sounds Good Tour;Pque. Can Zam;Barcelona, España;14 de Junio 2022;2022-06-14
Sounds Good Tour;AccorHotels Arena;Paris, France;17 de Junio 2022;2022-06-17
Sounds Good Tour;Rockerfeller Music Hall;Oslo, Norway;19 de Junio 2022;2022-06-19
MCR Tour;Wells Fargo Center;Philadelphia, PA, USA;29 de Agosto 2022;2022-08-29
MCR Tour;Scotiabank Arena;Toronto, Canada;5 de Setiembre 2022;2022-09-05
MCR Tour;TD Garden;Boston, MA, USA;7 de Setiembre 2022;2022-09-07
MCR Tour;Little Caesars Arena;Detroit, MI, USA;13 de Setiembre 2022;2022-09-13
MCR Tour;Xcel Energy Center;St. Paul, MN, USA;15 de Setiembre 2022;2022-09-15
MCR Tour;Prudential Center;Newark, NJ, USA;20 de Setiembre 2022;2022-09-20
MCR Tour;Prudential Center;Newark, NJ, USA;21 de Setiembre 2022;2022-09-21
MCR Tour;Toyota Center;Horuston, TX, USA;27 de Setiembre 2022;2022-09-27
MCR Tour;American Airlines Center;Dallas, TX, USA;28 de Setiembre 2022;2022-09-28
MCR Tour;Tacoma Dome;Tacoma, WA, USA;3 de Octubre 2022;2022-10-03
MCR Tour;Oakland Arena;Oakland, CA, USA;5 de Octubre 2022;2022-10-05
MCR Tour;T-Mobile Arena;Las Vegas, NV, USA;7 de Octubre 2022;2022-10-07
MCR Tour;The Forum;Inglewood, CA, USA;11 de Octubre 2022;2022-10-11
MCR Tour;The Forum;Inglewood, CA, USA;12 de Octubre 2022;2022-10-12
MCR Tour;The Forum;Inglewood, CA, USA;14 de Octubre 2022;2022-10-14
MCR Tour;The Forum;Inglewood, CA, USA;15 de Octubre 2022;2022-10-15
Sounds Good Tour;Estadio de San Marcos;Lima, Peru;1 de Diciembre 2022;2022-12-01
